For the sample music and logo, ©All rights reserved by miHoYo. 
Other properties and any right, title, and interest thereof and therein (intellectual property rights included) not derived from 
Honkai: Star Rail belong to their respective owners. 
Please do not use or redistribute any part of this mod commercially. 
Find Hoyo's guide on the usage of their copyrighted materials at
https://www.hoyolab.com/article/17883171


File Name				Music Name 
CustomTritachEncounterFriendly.ogg	Dawn of Disaster · Herta Space Station Battle Theme
CustomHegemonyMarketNeutral.ogg	Kindling · Jarilo-VI · Underworld Battle Theme
CustomHegemonyMarketHostile.ogg	Order Jarilo-VI · Overworld Battle Theme
CustomHegemonyMarketFriendly.ogg		In the Name of Landau · Experience the Paths
CustomHegemonyEncounterNeutral.ogg	Everwinter
CustomHegemonyEncounterHostile.ogg		Everwinter
CustomHegemonyEncounterFriendly.ogg	Everwinter
CustomPathMarketNeutral.ogg	Evanescent Dreams
CustomPathMarketHostile.ogg	Sanctus Medicus Dharani · Xianzhou Luofu Battle Theme
CustomPathMarketFriendly.ogg	Arteria Inceptionis · Roots of the Arbor
CustomPathEncounterNeutral.ogg	Thundering Chariot · Xianzhou Luofu Battle Theme
CustomPathEncounterHostile.ogg	Thundering Chariot · Xianzhou Luofu Battle Theme
CustomPathEncounterFriendly.ogg	Thundering Chariot · Xianzhou Luofu Battle Theme
CustomLeagueMarketNeutral.ogg	Dense Floe · Corridor of Fading Echoes
CustomLeagueMarketHostile.ogg	Braving the Cold · Jarilo-VI Overworld Battle Theme
CustomLeagueMarketFriendly.ogg	Cosmic Sacrifice for Love · Swarm Battle Theme
CustomLeagueEncounterNeutral.ogg	Forgotten Hall
CustomLeagueEncounterHostile.ogg	Forgotten Hall
CustomLeagueEncounterFriendly.ogg	Forgotten Hall
CustomRemnantEncounterNeutral.ogg	The Big Sleep
CustomRemnantEncounterHostile.ogg	Dense Floe · Corridor of Fading Echoes
CustomRemnantEncounterFriendly.ogg	In Disbelief · Seclusion Zone
CustomPlayerMarketFriendly1.ogg	Flow Experience · Herta's Office
CustomPlayerMarketFriendly2.ogg	Space Walk · Herta Space Station
CustomAbyssal.ogg			Wheel of Fate 
CustomDwellerEncounter.ogg		To Gorgo Strife Ruins Castrum Kremnos
CustomThreatEncounter.ogg		King Father of All · Incarnation of Strife


//music below duplicates vanilla
CustomDiktatMarketNeutral.ogg	
CustomDiktatMarketHostile.ogg	
CustomDiktatMarketFriendly.ogg	
CustomDiktatEncounterNeutral.ogg	
CustomDiktatEncounterHostile.ogg	
CustomDiktatEncounterFriendly.ogg	
